file;motion;expected_label;predicted_label;confidence;correct
noise.0298ec2b1277.2026-01-11_17-35-10.wav;noise;0;0;0.9961;True
noise.0b54199434d7.2026-01-11_17-35-14.wav;noise;0;0;0.9961;True
noise.11d79d9f7b00.2026-01-11_17-35-26.wav;noise;0;0;0.9961;True
noise.1ef0aa94174e.2026-01-11_17-35-19.wav;noise;0;0;0.9961;True
noise.1fdfedc18867.2026-01-11_17-34-51.wav;noise;0;0;0.9961;True
go.01c2f9b1f5c7.2026-01-18_15-32-45.wav;go;1;1;0.9961;True
go.03524c246269.2026-01-18_15-34-33.wav;go;1;1;0.9961;True
go.0473299bdecc.2026-01-18_15-33-48.wav;go;1;1;0.9961;True
go.07487f7e8f56.2026-01-18_15-33-17.wav;go;1;1;0.9961;True
go.139b73185ca4.2026-01-18_15-33-45.wav;go;1;1;0.9961;True
stop.00a7405bf77b.2026-01-18_15-40-09.wav;stop;2;2;0.9961;True
stop.05622cc925a3.2026-01-18_15-40-49.wav;stop;2;2;0.9961;True
stop.06ca1896277e.2026-01-18_15-39-40.wav;stop;2;2;0.9961;True
stop.075d0f7c917e.2026-01-18_15-39-57.wav;stop;2;2;0.9961;True
stop.0ee92201c6c6.2026-01-18_15-39-53.wav;stop;2;2;0.9961;True
